,ASR Transcript (Taken From Actual TCS Task),use pretrained xlmr for reranking,Claim 1 Relevance,Claim 2 Relevance,Claim 3 relevance,Score,continue_pretrained_result
10,tell you something i just like i feel like they gonna try to rig this election they um no i'm sorry i have my hand on my mic i feel like they're gonna try to rig this election or they gonna some type of virus or it's gonna be some type of lockdown or something gonna happen,"claim: ""The speaker is talking about the House speaker election. She says: '
  '“They rig every election.”\\n"", notes: ""It is unclear who the speaker is '
  'referring to as “they.” But there is no evidence that there was rigging or '
  'corruption in the three rounds of voting for House speaker.\\n""',
  'claim: The 2020 US election was rigged., notes: There are various claims in '
  'the video. The main claim appears to be Donald Trump suggesting that ""they"" '
  'are going to force the US into lockdown as a result of supposed new Covid '
  'variants. This is a claim that has been around for a couple of months now. '
  'There is no basis to it (see attached check).\n'
  ""However, perhaps easier to debunk is Trump's claim that the 2020 US ""
  'election was rigged. \n'
  'There is no evidence to suggest this is true. The likes of the defamation '
  'action against Fox News supports this.',
  'claim: The video expresses an opinion., notes: The video expresses an '
  'opinion about the current lockdown due to COVID-19 in China, suggesting '
  'that the situation will be similar in Brazil after the election.'",1.0,1.0,0.0,Highly Relevant,"['claim: ""The speaker is talking about the House speaker election. She says: “They rig every election.”\\n"", notes: ""It is unclear who the speaker is referring to as “they.” But there is no evidence that there was rigging or corruption in the three rounds of voting for House speaker.\\n""', 'claim: The 2020 US election was rigged., notes: There are various claims in the video. The main claim appears to be Donald Trump suggesting that ""they"" are going to force the US into lockdown as a result of supposed new Covid variants. This is a claim that has been around for a couple of months now. There is no basis to it (see attached check).\nHowever, perhaps easier to debunk is Trump\'s claim that the 2020 US election was rigged. \nThere is no evidence to suggest this is true. The likes of the defamation action against Fox News supports this.', 'claim: The video expresses an opinion., notes: The video expresses an opinion about the current lockdown due to COVID-19 in China, suggesting that the situation will be similar in Brazil after the election.']"
11,about that we already know it's rigged okay i have no desire really vote not for real i mean trump's taking office anyways so okay we're about to have our superhero right back in office where he belongs trump's gonna get in there and he's gonna do his thing it's gonna get all these niggers off the planet right so we can get back to living how god wants us to live pure and white so you better get on board you better get on board,"claim: Why do we have to live a planet we are born on, notes: Not a '
  'fact-checkable claim',
  'claim: ""Video claims that the Democrats admitted that the election was '
  'rigged. "", notes: ""Known claim about the rigged elections. \\nModerator\'s '
  'opinion: Election Misinformation.""',
  'claim: The 2020 US election was rigged., notes: There are various claims in '
  'the video. The main claim appears to be Donald Trump suggesting that ""they"" '
  'are going to force the US into lockdown as a result of supposed new Covid '
  'variants. This is a claim that has been around for a couple of months now. '
  'There is no basis to it (see attached check).\n'
  ""However, perhaps easier to debunk is Trump's claim that the 2020 US ""
  'election was rigged. \n'
  'There is no evidence to suggest this is true. The likes of the defamation '
  'action against Fox News supports this.",0.0,1.0,1.0,Highly Relevant,"['claim: Why do we have to live a planet we are born on, notes: Not a fact-checkable claim', 'claim: ""Video claims that the Democrats admitted that the election was rigged. "", notes: ""Known claim about the rigged elections. \\nModerator\'s opinion: Election Misinformation.""', 'claim: The 2020 US election was rigged., notes: There are various claims in the video. The main claim appears to be Donald Trump suggesting that ""they"" are going to force the US into lockdown as a result of supposed new Covid variants. This is a claim that has been around for a couple of months now. There is no basis to it (see attached check).\nHowever, perhaps easier to debunk is Trump\'s claim that the 2020 US election was rigged. \nThere is no evidence to suggest this is true. The likes of the defamation action against Fox News supports this.']"
12,we think that you know raising vibrations and being in love and all this things matter but there's an absolute war against us right now we're getting invaded from the inside you guys understand this right so when not you guys really like i know right now americans don't understand or canadians don't understand because iraqis or afghanistan or libyans that destroyed but this is coming here this is what i'm telling you biden and chudo started so many wars that we can't possibly win what's gonna happen is and it's a chosen horse they already coming through the borders right so all over us there's chinese sleeper cells i'm talking about train soldiers ready to unalive americans and this is what's happening and all wars happen like this all the time they gotta crash the economy first and that's what they're doing look at us they're crashing the economy and they creating inflation and eventually when all that stuff happens when things get so bad inside us because we're also getting invaded by migrants,"claim: ""A rogue US government scientist found that “raising vibrations” can '
  'attract wealth. "", notes: ""This TikTok refers to baseless claims of wealth '
  'attraction through manifestation and raising frequencies. ""',
  'claim: ""The US invaded Iraq because it wanted to control its oil while it '
  'invaded Afghanistan to control its wealth.  \\n"", notes: ""Several observers '
  'have cited the US invasion of Iraq was about oil. \\n\\nThe US invaded '
  'Afghanistan to avenge the 9/11 terrorist attacks orchestrated by Al Qaeda '
  'and to the terrorist group’s leader Osama bin Laden, who was given a safe '
  'haven by the Taliban, who ruled Afghanistan. \\n\\n""',
  'claim: The US has invaded Syria and Lebanon., notes: In 1982 the US '
  'intervened militarily in the Lebanese Civil War as well as during the '
  'Syrian Civil War that started in 2011. However, this does not mean that it '
  'invaded both countries, as the video claims, and there is no official '
  'information that proves the US invaded Syria or Lebanon. Referring to it as '
  'an invasion can also be considered as opinion.'",0.0,0.5,0.5,Somewhat Relevant ,"['claim: ""A rogue US government scientist found that “raising vibrations” can attract wealth. "", notes: ""This TikTok refers to baseless claims of wealth attraction through manifestation and raising frequencies. ""', 'claim: ""The US invaded Iraq because it wanted to control its oil while it invaded Afghanistan to control its wealth.  \\n"", notes: ""Several observers have cited the US invasion of Iraq was about oil. \\n\\nThe US invaded Afghanistan to avenge the 9/11 terrorist attacks orchestrated by Al Qaeda and to the terrorist group’s leader Osama bin Laden, who was given a safe haven by the Taliban, who ruled Afghanistan. \\n\\n""', 'claim: The US has invaded Syria and Lebanon., notes: In 1982 the US intervened militarily in the Lebanese Civil War as well as during the Syrian Civil War that started in 2011. However, this does not mean that it invaded both countries, as the video claims, and there is no official information that proves the US invaded Syria or Lebanon. Referring to it as an invasion can also be considered as opinion.']"
13,"grits and as long as they keep that at the heading it discredits the natives that were here in the sovereignty that this land presented now you come and set up a united state but then open the doors back up to foreign invaders that you're gripping about. the regular citizens aren't opening fucking borders and ain't paying thousands and millions of dollars so people fly across the pacific ocean to come over here and disrupt the economy from what we see this is the only place that this is going on i can't go to europe and disturb economy this is not a mass
this is a black people in america going to other countries and throwing off the economy but there's a mass exodus of people coming to america and throwing off the economy in the american citizens are worried about their bbls worried about their fucking mascara and worried about their rims and get in the bag","claim: ""Black people were in America first. They hypnotized us to believe '
  'it was Native Americans that were here first and Black people arrived on '
  'slave ships."", notes: ""Over the course of 400 years, millions of Africans '
  'were taken from their homes and forced onto ships crossing the Atlantic '
  'Ocean, bound for Europe and the Americas for the purpose of enslavement. '
  'This is widely documented — in letters, ship manifests, drawings, '
  'literature, legislation and other artifacts. Even science has revealed the '
  'genetic legacy of this forced migration.""',
  'claim: ""The United States is going into lockdown and rounding people up '
  'into quarantine camps for execution. Canada is set to do the same. "", '
  'notes: ""This is a known baseless conspiracy theory that gained popularity '
  'in 2022 when far-right conspiracy theorist Alex Jones posted about it on '
  'his social media accounts. There is no evidence of people being rounded up '
  'for execution at quarantine camps. There is also nothing to support the '
  'claim that the United States and Canada are going to go into lockdown '
  'because of COVID-19. ""',
  'claim: "" the United States of America is going to war with the Muslim and '
  'the Arab world because of a false flag operation conducted by the '
  'Israelis"", notes: ""The post is segment cut from the far right-wing True '
  'News News platform.\\n The speaker on the video is Rick Wiles, a far-right '
  'American conspiracy theorist who funds and hosts the TrueNews website; he '
  'claims that the United States of America is going to  War with the Muslim '
  'and the Arab world because of a false flag operation conducted by the '
  'Israelis,  to let the American believe that Arabs are behind it.\\nThis '
  'post is misinformation as Mr. Wiles did not provide any proof to '
  'corroborate his claims but instead insisted that Israel conspires to attack '
  'the U.S., making it look like Muslims did it.""'",0.5,0.0,0.0,Somewhat Relevant ,"['claim: ""Black people were in America first. They hypnotized us to believe it was Native Americans that were here first and Black people arrived on slave ships."", notes: ""Over the course of 400 years, millions of Africans were taken from their homes and forced onto ships crossing the Atlantic Ocean, bound for Europe and the Americas for the purpose of enslavement. This is widely documented — in letters, ship manifests, drawings, literature, legislation and other artifacts. Even science has revealed the genetic legacy of this forced migration.""', 'claim: ""The United States is going into lockdown and rounding people up into quarantine camps for execution. Canada is set to do the same. "", notes: ""This is a known baseless conspiracy theory that gained popularity in 2022 when far-right conspiracy theorist Alex Jones posted about it on his social media accounts. There is no evidence of people being rounded up for execution at quarantine camps. There is also nothing to support the claim that the United States and Canada are going to go into lockdown because of COVID-19. ""', 'claim: "" the United States of America is going to war with the Muslim and the Arab world because of a false flag operation conducted by the Israelis"", notes: ""The post is segment cut from the far right-wing True News News platform.\\n The speaker on the video is Rick Wiles, a far-right American conspiracy theorist who funds and hosts the TrueNews website; he claims that the United States of America is going to  War with the Muslim and the Arab world because of a false flag operation conducted by the Israelis,  to let the American believe that Arabs are behind it.\\nThis post is misinformation as Mr. Wiles did not provide any proof to corroborate his claims but instead insisted that Israel conspires to attack the U.S., making it look like Muslims did it.""']"
14,times all is not lost yet still might because things need to change did you know that the united states is letting in a path decide that china doesn't even want in their country and it's banned they want it to be available in the united states why why would you want to hurt more american peoples with chemicals it just seems like a little bit of chemical warfare to me,"'claim: , notes: This is an opinion about China and who it might decide to '
  'go to war with. ',
  'claim: , notes: Video states that it is likely Russia will use chemical '
  'warfare. The events are still unfolding, so we cannot verify. Marked '
  'unconfirmed/ disputed.  ',
  'claim: ""The US is now ready to engage in a war against China"", notes: ""This '
  'claim cannot be independently verified.\\n\\nUS President Joe Biden said in '
  '2021 he does not want war with China: “That’s why you have — you know, you '
  'hear people saying, ‘Biden wants to start a new Cold War with China.’  I '
  'don’t want a Cold War with China.  I just want to make China understand '
  'that we are not going to step back.”\\n""'",0.5,0.5,0.5,Somewhat Relevant ,"['claim: , notes: This is an opinion about China and who it might decide to go to war with. ', 'claim: , notes: Video states that it is likely Russia will use chemical warfare. The events are still unfolding, so we cannot verify. Marked unconfirmed/ disputed.  ', 'claim: ""The US is now ready to engage in a war against China"", notes: ""This claim cannot be independently verified.\\n\\nUS President Joe Biden said in 2021 he does not want war with China: “That’s why you have — you know, you hear people saying, ‘Biden wants to start a new Cold War with China.’  I don’t want a Cold War with China.  I just want to make China understand that we are not going to step back.”\\n""']"
15,why do you wanna be controlled why do you wanna be a slave to the system because that's why you are right now you are nothing but a bunch of slaves nothing but a bunch of slaves right now why is that why is it that you can care less of what information comes before you right now we are in the middle of like what almost three new wars we're in we're at war with russia no matter what they tell you because we're arming them we're arming ukraine we're in a freaking cold war with russia we're in a financial war with china the middle east is in shambles now inflation is through the roof ,"'claim: ""Russia’s war with Ukraine is the start of World War III\\n"", notes: '
  '""The TikTok makes a vague claim linking the Ukraine war to World War '
  'III.\\n""',
  'claim: ""Russia will attack the United States with nuclear weapons."", notes: '
  '""Russia is currently at war with Ukraine. \\n\\nThere is no credible news '
  'reporting that Russia will attack the US with nuclear weapons.\\n""',
  'claim: ""The war in Ukraine proves Russia is not great"", notes: ""This post '
  'says Russia is “not a great power” as it has yet to defeat “a country as '
  'weak as Ukraine”. This is an opinion.\\n\\nReports say Russia has suffered '
  'massive losses of troops and military equipment during the war.\\n\\nIts '
  'economy has fallen into recession after two consecutive quarters of '
  'economic contraction caused by sanctions imposed by the West.\\n""'",0.5,0.5,0.5,Somewhat Relevant ,"['claim: ""Russia’s war with Ukraine is the start of World War III\\n"", notes: ""The TikTok makes a vague claim linking the Ukraine war to World War III.\\n""', 'claim: ""Russia will attack the United States with nuclear weapons."", notes: ""Russia is currently at war with Ukraine. \\n\\nThere is no credible news reporting that Russia will attack the US with nuclear weapons.\\n""', 'claim: ""The war in Ukraine proves Russia is not great"", notes: ""This post says Russia is “not a great power” as it has yet to defeat “a country as weak as Ukraine”. This is an opinion.\\n\\nReports say Russia has suffered massive losses of troops and military equipment during the war.\\n\\nIts economy has fallen into recession after two consecutive quarters of economic contraction caused by sanctions imposed by the West.\\n""']"
16,i wanna i wanna see how he was installed you wanna know who is installed trump was installed because according to an election whoever has the popular vote is usually technically the winner right so if that's the case trump has never fucking won an election,"'claim: , notes: The primary claim is that in the event that the '
  'presidential election had to be determined by the House of Representatives, '
  'Donald Trump would have won because the vote is determined by state, and '
  'Republicans controlled more states than Democrats. This is true, according '
  'to ABC News. Republicans controlled 26 states, while Democrats controlled '
  '23. Rating: Not misinformation, true ',
  'claim: ""Trump won all 50 states in the 2020 elections if absentee ballots '
  'were not counted."", notes: ""It is true that Trump gained far more in-person '
  'votes and Biden benefitted from absentee ballots. However, even with this '
  'Trump would not have won all 50 states - Delaware, New Hampshire, New York '
  'and Pennsylvania all voted Democrat.\\n\\nMODERATOR REVIEW: This can be '
  ""tagged for Election Misinformation since it's incorrect information and for ""
  'the verbage used (Trump won vs Trump would have won).""',
  'claim: , notes: the election circumstances are disputed'",1.0,0.5,0.5,Highly Relevant,"['claim: , notes: The primary claim is that in the event that the presidential election had to be determined by the House of Representatives, Donald Trump would have won because the vote is determined by state, and Republicans controlled more states than Democrats. This is true, according to ABC News. Republicans controlled 26 states, while Democrats controlled 23. Rating: Not misinformation, true ', 'claim: ""Trump won all 50 states in the 2020 elections if absentee ballots were not counted."", notes: ""It is true that Trump gained far more in-person votes and Biden benefitted from absentee ballots. However, even with this Trump would not have won all 50 states - Delaware, New Hampshire, New York and Pennsylvania all voted Democrat.\\n\\nMODERATOR REVIEW: This can be tagged for Election Misinformation since it\'s incorrect information and for the verbage used (Trump won vs Trump would have won).""', 'claim: , notes: the election circumstances are disputed']"
17,bro get the hell out of here with this bullshit yeah they could have been avoided you could have told your homeboy to keep his mouth shut and fucking get over the fact that the election wasn't stolen cause he's a fucking cry baby that's the he has the right to do what what does that mean he does not have he had the right to contest it look he has the right to say he has the right to say whatever he want okay now he didn't start an insurrection okay first of all no wasn't he didn't start nothing he asked he asked the protesters,"'claim: , notes: This video is misinformation. The election was not stolen '
  'and Biden won the election in a fair and free manner. Moreover, the virus '
  'was not manufactured and brought into the US so that people could defame '
  'Trump and Biden could steal the election.  ',
  'claim: Alex Jones refers to manure protest in France and that Macron did '
  'not legitimately win the French presidential election and is a puppet of '
  'Klaus Schwab., notes: The protests are real and dumping manure is a '
  'common-enough occurrence, however there is no evidence the French election '
  'was stolen. There is also no evidence that the protest was about a stolen '
  'election.',
  'claim: , notes: This video contains parts of several conspiracy theories '
  'having to do with elections and central banking.  It contains a headline '
  'that says that GA confirms the election was deliberately stolen from '
  'Trump.  The election was not stolen from Trump, as many fact-checkers and '
  'others have found:  Misinformation, factually inaccurate, harmful. \n'",1.0,1.0,1.0,Highly Relevant,"['claim: , notes: This video is misinformation. The election was not stolen and Biden won the election in a fair and free manner. Moreover, the virus was not manufactured and brought into the US so that people could defame Trump and Biden could steal the election.  ', 'claim: Alex Jones refers to manure protest in France and that Macron did not legitimately win the French presidential election and is a puppet of Klaus Schwab., notes: The protests are real and dumping manure is a common-enough occurrence, however there is no evidence the French election was stolen. There is also no evidence that the protest was about a stolen election.', 'claim: , notes: This video contains parts of several conspiracy theories having to do with elections and central banking.  It contains a headline that says that GA confirms the election was deliberately stolen from Trump.  The election was not stolen from Trump, as many fact-checkers and others have found:  Misinformation, factually inaccurate, harmful. \n']"
18,they don't figure out a way to cheat again no that's i'm saying i worry about that the whole cheating i do worry about that i mean a big part of it we're we had to mail in a lot of votes last time don't mail them in guys if i can recommend i recommend walking in there dropping it in yourself go there physically put it in yourself don't mail the votes in that's just my opinion yeah go to the polls don't mail them in guys not to mention if you have time watch them voting in person for sure that's right stephanie yeah they're not gonna be able to do the same things they did last time guys you would all know what scene i,"claim: ""\\""When you read articles like this, don\'t just get upset at their '
  'propaganda \'cause that\'s expected.\\"""", notes: ""There\'s no clear '
  'fact-checkable claim here. It sounds more like opinion.""',
  'claim: , notes: This base-line information is right ( but the message of '
  'this post is unclear. I will flag this as Not Misinformation as the '
  ""background is right. But i' am not sure the person who posted this was ""
  'really aware of what they were saying.',
  'claim: , notes: The claim is that a new Texas voting law makes it illegal '
  'to collect someone else’s ballot and restricts ballot stuffing, ballot '
  'harvesting, unsolicited mail in ballot requests. “Democrats claim it’s '
  'racist because they claim black people don’t have id’s and need help '
  'filling out ballots… in our opinion that on its face is racist.”  Claims '
  'about provisions of the bill seem largely accurate. Regarding voter ID '
  'requirements, “The implementation of such laws throughout history has at '
  'times been discriminatory and even weaponized to target and suppress votes '
  'in certain communities. Numerous federal court rulings in the past decade '
  'alone have struck down voter ID laws in Georgia, Texas and North Carolina '
  'as discriminatory.”  Ruling: misinfo, misleading \n'",0.0,0.0,0.5,Somewhat Relevant ,"['claim: ""\\""When you read articles like this, don\'t just get upset at their propaganda \'cause that\'s expected.\\"""", notes: ""There\'s no clear fact-checkable claim here. It sounds more like opinion.""', ""claim: , notes: This base-line information is right ( but the message of this post is unclear. I will flag this as Not Misinformation as the background is right. But i' am not sure the person who posted this was really aware of what they were saying."", 'claim: , notes: The claim is that a new Texas voting law makes it illegal to collect someone else’s ballot and restricts ballot stuffing, ballot harvesting, unsolicited mail in ballot requests. “Democrats claim it’s racist because they claim black people don’t have id’s and need help filling out ballots… in our opinion that on its face is racist.”  Claims about provisions of the bill seem largely accurate. Regarding voter ID requirements, “The implementation of such laws throughout history has at times been discriminatory and even weaponized to target and suppress votes in certain communities. Numerous federal court rulings in the past decade alone have struck down voter ID laws in Georgia, Texas and North Carolina as discriminatory.”  Ruling: misinfo, misleading \n']"
19,bowser trump said on january 6th that pennsylvania had 205 000 more votes than voters is that true bowser is that true. is that true yes or no all right that was our next one the lie he said that nevada had tens of thousands of double votes in other fraud is that true he said that 30 he said laser laser hold on that was stop stop stop he said that 30 000,"'claim: ""The claim is unclear. The banner reads, \\""What fraud did Trump cry '
  ""so much about...he who said he'd only accept an (electoral)  result that ""
  'showed him as victor."", notes: ""It is true that former US President Donald '
  'J Trump challenged results.  This is political criticism. ""',
  'claim: , notes: This is not misinformation. This is something that Donald '
  'Trump said.  ',
  'claim: , notes: The claim is that the 2020 election was a “big lie” and '
  'that Trump really won Pennsylvania.  This is inaccurate, and has been '
  'debunked by many fact-checkers.  Misinformation, factually inaccurate, '
  'harmful. \n'",0.5,0.5,1.0,Highly Relevant,"['claim: ""The claim is unclear. The banner reads, \\""What fraud did Trump cry so much about...he who said he\'d only accept an (electoral)  result that showed him as victor."", notes: ""It is true that former US President Donald J Trump challenged results.  This is political criticism. ""', 'claim: , notes: This is not misinformation. This is something that Donald Trump said.  ', 'claim: , notes: The claim is that the 2020 election was a “big lie” and that Trump really won Pennsylvania.  This is inaccurate, and has been debunked by many fact-checkers.  Misinformation, factually inaccurate, harmful. \n']"
20,"Not one thing has gotten better under crooked Joe Biden. Not one thing. Name one thing. Does anybody out there? Do you have any Biden fans? Are there any Biden fans in this big crowd? After three years of Bidenomics, he thinks the term is good. No, it’s a bad term, not a good term. You know the one he doesn’t like? MAGA. He talks about MAGA. It’s called Make America Great Again. He doesn’t like it. He doesn’t like it. The average monthly mortgage payment is gone from $1,746 under my administration to $3,322 under the Biden administration. And then you have to ask, were you better off five years ago or are you better off today? You’re a lot better off five years ago,","'claim: , notes: the primary claim is that there is “blatant corruption” '
  'from Joe Biden because he has ties to the Communist Party of China. This is '
  'misinformation, factually inaccurate. PolitiFact has fact checked many of '
  'these claims regarding Biden and China and experts say the allegations that '
  'have been made do not add up to a picture of Joe Biden being corrupt or '
  'pursuing policies contrary to the national interest. \n'
  'Ruling: Misinformation, factually inaccurate.  ',
  'claim: ""The post lists what it claims to be evidence of corruption by Joe '
  'Biden. The post claims that there is a connection between: 1. China sent a '
  'diamond to Hunter Biden and 2. Joe Biden went soft on China. Hashtags: '
  '#hunterbiden and #joebiden #crime #corrupt, notes: ""Misinformation. While '
  'it is true that Hunter Biden received a diamond as a gift from a Chinese '
  'executive in 2017, there is no evidence of a connection between the two '
  'claims. PolitiFact has found no evidence that Hunter Biden’s business '
  'dealings have affected Joe Biden’s policy decisions. The second claim has '
  'an element of opinion.\\n- PolitiFact: “The granular details of many of the '
  'allegations about Hunter Biden’s dealings in China are supported by '
  'documentation, but larger conclusions resurrected at the end of the 2020 '
  'campaign are unsubstantiated. Foreign policy experts say these allegations '
  'do not add up to a picture of Joe Biden being corrupt or pursuing policies '
  'contrary to the national interest.”\\n""',
  'claim: , notes: The primary claim is that Joe Biden and Hunter Biden shared '
  'a bank account and this is proof of corruption from Joe Biden. This is '
  'likely misinformation, misleading. According to PolitiFact, foreign policy '
  'experts say the allegations lobbied against Joe Biden relating to his son '
  'Hunter’s dealings in Ukraine do not amount to corruption. \n'
  'Ruling: Likely misinformation, misleading.  '",0.5,0.5,0.5,Somewhat Relevant ,"['claim: , notes: the primary claim is that there is “blatant corruption” from Joe Biden because he has ties to the Communist Party of China. This is misinformation, factually inaccurate. PolitiFact has fact checked many of these claims regarding Biden and China and experts say the allegations that have been made do not add up to a picture of Joe Biden being corrupt or pursuing policies contrary to the national interest. \nRuling: Misinformation, factually inaccurate.  ', 'claim: ""The post lists what it claims to be evidence of corruption by Joe Biden. The post claims that there is a connection between: 1. China sent a diamond to Hunter Biden and 2. Joe Biden went soft on China. Hashtags: #hunterbiden and #joebiden #crime #corrupt, notes: ""Misinformation. While it is true that Hunter Biden received a diamond as a gift from a Chinese executive in 2017, there is no evidence of a connection between the two claims. PolitiFact has found no evidence that Hunter Biden’s business dealings have affected Joe Biden’s policy decisions. The second claim has an element of opinion.\\n- PolitiFact: “The granular details of many of the allegations about Hunter Biden’s dealings in China are supported by documentation, but larger conclusions resurrected at the end of the 2020 campaign are unsubstantiated. Foreign policy experts say these allegations do not add up to a picture of Joe Biden being corrupt or pursuing policies contrary to the national interest.”\\n""', 'claim: , notes: The primary claim is that Joe Biden and Hunter Biden shared a bank account and this is proof of corruption from Joe Biden. This is likely misinformation, misleading. According to PolitiFact, foreign policy experts say the allegations lobbied against Joe Biden relating to his son Hunter’s dealings in Ukraine do not amount to corruption. \nRuling: Likely misinformation, misleading.  ']"
21,"Under Biden, you have the highest number of illegal border crossings in the history of our country, by far the highest number of illegal visa overstays, and by far a new record being set every single week on drugs and every other lousy thing that’s coming into our country.","'claim: "" Border crossings at the U.S.-Mexico border are at record numbers. '
  '\\n"", notes: ""This is correct. According to Axios: “181,000 people crossed '
  'the border illegally last month — the highest monthly number since before '
  'pandemic policies were replaced by new carrot-and-stick measures in May.” '
  '\\n""',
  'claim: ""The number of undocumented immigrants admitted under President '
  'Biden is more than the populations of 15 states. \\n"", notes: ""We don’t '
  'know the source of this claim, that the number of undocumented immigrants '
  'admitted under President Biden is more than the populations of 15 states. '
  'However, Republicans are claiming that there have been 5.4 million illegal '
  'border crossings and an additional 1.5 million “gotaways,” or people who '
  'were detected but not apprehended, during the Biden administration. But the '
  'population of the 15 smallest states far exceeds 5.4 million. \\n""',
  'claim: ""So far this year, 2.388 million undocumented immigrants have '
  'crossed the border, according to Fox News. \\n"", notes: ""U.S. Customs and '
  'Border Protection reports that so far, year-to-date, there have been 2.2 '
  'million land-border encounters. It’s unclear where the extra encounters are '
  'that Fox News is counting (about 188,000.) It’s possible they are counting '
  'other categories or somehow have more updated data. \\n""",1.0,1.0,1.0,Highly Relevant,"['claim: "" Border crossings at the U.S.-Mexico border are at record numbers. \\n"", notes: ""This is correct. According to Axios: “181,000 people crossed the border illegally last month — the highest monthly number since before pandemic policies were replaced by new carrot-and-stick measures in May.” \\n""', 'claim: ""The number of undocumented immigrants admitted under President Biden is more than the populations of 15 states. \\n"", notes: ""We don’t know the source of this claim, that the number of undocumented immigrants admitted under President Biden is more than the populations of 15 states. However, Republicans are claiming that there have been 5.4 million illegal border crossings and an additional 1.5 million “gotaways,” or people who were detected but not apprehended, during the Biden administration. But the population of the 15 smallest states far exceeds 5.4 million. \\n""', 'claim: ""So far this year, 2.388 million undocumented immigrants have crossed the border, according to Fox News. \\n"", notes: ""U.S. Customs and Border Protection reports that so far, year-to-date, there have been 2.2 million land-border encounters. It’s unclear where the extra encounters are that Fox News is counting (about 188,000.) It’s possible they are counting other categories or somehow have more updated data. \\n""']"
22,"Tens of thousands of Chinese nationals are pouring in, unchecked, unvetted going who knows where? We don’t know. They have no idea. They have no idea. They’re coming in. 27,000 Chinese men age 20 to 24, 25. No women. No older people. No younger people. About 20 to 24, 25 years old. The perfect age for an army.","'claim: ""Mostly military-age Chinese nationals are entering the country '
  'illegally as part of a planned invasion."", notes: ""Factually inaccurate. Of '
  'the 2.3 million migrant encounters in 2022 just under 2000 were Chinese. '
  'While this figure is set to increase, it is still a tiny percentage '
  'compared to the overall number of migrants entering the US.\\n\\nMODERATOR '
  'REVOEW: This is content implicitly but clearly blaming a protected group '
  'for future crime and chaos, therefore by the decision tree guidance this '
  'would be DCT.\\n""',
  'claim: ""China is sending in their military to the US border in California '
  'and their shoes are clean. "", notes: ""There is a growing number of Chinese '
  'nationals seeking asylum in the US but there is no reporting or evidence '
  'they are from the Chinese military. ""',
  'claim: , notes: Many speculations were made after this announce inciting '
  ""chinese population to make reserve of food but we don't know the reason and ""
  'should not make the most crazy hypothesis. \n'",1.0,1.0,0.5,Highly Relevant,"['claim: ""Mostly military-age Chinese nationals are entering the country illegally as part of a planned invasion."", notes: ""Factually inaccurate. Of the 2.3 million migrant encounters in 2022 just under 2000 were Chinese. While this figure is set to increase, it is still a tiny percentage compared to the overall number of migrants entering the US.\\n\\nMODERATOR REVOEW: This is content implicitly but clearly blaming a protected group for future crime and chaos, therefore by the decision tree guidance this would be DCT.\\n""', 'claim: ""China is sending in their military to the US border in California and their shoes are clean. "", notes: ""There is a growing number of Chinese nationals seeking asylum in the US but there is no reporting or evidence they are from the Chinese military. ""', ""claim: , notes: Many speculations were made after this announce inciting chinese population to make reserve of food but we don't know the reason and should not make the most crazy hypothesis. \n""]"
